Car Name,KM Driven,Fuel Type,Transmission,Ownership,Price,Location
2018 Datsun Go REMIX EDITION,99.58k km,Petrol,Manual,2nd owner,2.72L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2018 Maruti Swift LXI,81.41k km,Petrol,Manual,1st owner,4.58L,"M3M Urbana, Golf Course Ext., Gurugram"
2024 Nissan MAGNITE XE,13.33k km,Petrol,Manual,1st owner,5.30 lakh,"Metro Walk, Rohini, New Delhi"
2021 Hyundai Verna S PLUS 1.5 VTVT,33.75k km,Petrol,Manual,1st owner,8.30L,"Vaishali, Ghaziabad"
2021 Hyundai NEW I20,241 km,Diesel,Manual,1st owner,6.78L,"M3M Urbana, Golf Course Ext., Gurugram"
2024 Tata PUNCH PURE MT,8.92k km,Petrol,Manual,1st owner,5.65L,"M3M Urbana, Golf Course Ext., Gurugram"
2024 Nissan MAGNITE XE,2.27k km,Petrol,Manual,1st owner,5.33 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2021 Skoda KUSHAQ ACTIVE 1.0L TSI MT,74.54k km,Petrol,Manual,1st owner,8.50L,"M3M Urbana, Golf Course Ext., Gurugram"
2023 KIA SELTOS  HTX 1.5 PETROL MT,32.16k km,Petrol,Manual,1st owner,13.04L,"Parsvnath City Mall, Faridabad"
2019 Jeep Compass LIMITED PLUS PETROL AT,73.44k km,Petrol,Auto,2nd owner,10.59 lakh,"Metro Walk, Rohini, New Delhi"
2022 Maruti Swift VXI,49.21k km,CNG,Manual,1st owner,5.65 lakh,"CARS24 Network, Sec-11 Faridabad"
2021 Datsun Redi Go A,28.30k km,Petrol,Manual,1st owner,2.41 lakh,"M3M Urbana, Golf Course Ext., Gurugram"
2023 Maruti New Wagon-R,38.50k km,Petrol,Manual,1st owner,4.82L,"Parsvnath City Mall, Faridabad"
2023 Hyundai EXTER SX 1.2 MT,24.40k km,Petrol,Manual,1st owner,6.85 lakh,"M3M Urbana, Golf Course Ext., Gurugram"
2021 KIA SONET HTK PLUS 1.5,70.20k km,Diesel,Manual,1st owner,7.35L,Rajouri Garden
2016 Ford Ecosport TITANIUM 1.5L PETROL AT,50.82k km,Petrol,Auto,1st owner,4.87 lakh,"M3M Urbana, Golf Course Ext., Gurugram"
2022 Skoda KUSHAQ ACTIVE 1.0L TSI MT,24.46k km,Petrol,Manual,1st owner,8.78L,Rajouri Garden
2017 Maruti Ciaz ALPHA 1.4 PETROL,51.83k km,Petrol,Manual,2nd owner,5.28 lakh,"Metro Walk, Rohini, New Delhi"
2020 Renault Kwid RXL,52.83k km,Petrol,Manual,1st owner,3.04L,"Parsvnath City Mall, Faridabad"
2020 Renault TRIBER RXE MT,42.30k km,Petrol,Manual,2nd owner,3.93 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2024 Maruti Baleno SIGMA PETROL 1.2,28.25k km,Petrol,Manual,1st owner,6.59L,"Sector-18, Noida"
2020 Honda Amaze 1.2L I-VTEC E,32.35k km,Petrol,Manual,1st owner,5.14L,"Parsvnath City Mall, Faridabad"
2023 Maruti BREZZA ZXI SMART HYBRID,41.14k km,Petrol,Manual,1st owner,9.65L,"CARS24 Network, Sec-11 Faridabad"
2019 Honda City 1.5L I-VTEC VX,37.16k km,Petrol,Manual,1st owner,7.46L,"Parsvnath City Mall, Faridabad"
2016 Toyota Camry HYBRID,69.25k km,Hybrid,Auto,2nd owner,10.95L,"CARS24 Network, Sec-11 Faridabad"
2020 Tata ALTROZ XZ PETROL,44.92k km,CNG,Manual,1st owner,5.71L,"Sector-18, Noida"
2022 KIA SONET HTK PLUS 1.5,66.93k km,Diesel,Manual,1st owner,8.77L,"M3M Urbana, Golf Course Ext., Gurugram"
2015 Maruti Swift Dzire VXI,93.66k km,Petrol,Manual,2nd owner,3.61L,"Parsvnath City Mall, Faridabad"
2019 Honda Amaze 1.2L I-VTEC S,38.69k km,Petrol,Manual,1st owner,6.46L,"M3M Urbana, Golf Course Ext., Gurugram"
2016 Maruti Ertiga VXI,74.28k km,Petrol,Manual,1st owner,5.68L,"M3M Urbana, Golf Course Ext., Gurugram"
2022 KIA SONET HTK PLUS 1.5,32.92k km,Diesel,Manual,1st owner,9.86 lakh,"Parsvnath City Mall, Faridabad"
2024 Tata Curvv Pure Plus 1.2 Petrol 6MT,2.52k km,Petrol,Manual,1st owner,11.25 lakh,"CARS24 Network, Sector 7, Faridabad"
2023 Volkswagen VIRTUS,10.66k km,Petrol,Manual,1st owner,10.95L,"CARS24 Network, Sec-11 Faridabad"
2021 Maruti Ciaz SIGMA 1.5 SHVS MT PETROL,34.76k km,Petrol,Manual,1st owner,6.43L,"M3M Urbana, Golf Course Ext., Gurugram"
2022 Renault Kiger RXZ MT DUAL TONE,23.67k km,Petrol,Manual,1st owner,5.75 lakh,"Sector-18, Noida"
2018 Maruti Dzire ZXI PLUS AMT,48.90k km,Petrol,Auto,1st owner,5.71 lakh,"Parsvnath City Mall, Faridabad"
2021 Mahindra Bolero B6,78.49k km,Diesel,Manual,1st owner,7.50L,"CARS24 Network, Sec-11 Faridabad"
2023 Tata Tiago XZ PLUS CNG,51.91k km,CNG,Manual,1st owner,5.88 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2018 Hyundai Elite i20,42.28k km,Petrol,Manual,1st owner,4.71L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2020 Mahindra XUV500 W9,31.51k km,Diesel,Manual,1st owner,10.25L,"CARS24 Network, Sec-11 Faridabad"
2019 Jeep Compass LIMITED 1.4 PETROL AT,70.84k km,Petrol,Auto,1st owner,11.20L,"Parsvnath City Mall, Faridabad"
2019 Hyundai Elite i20,76.33k km,Petrol,Manual,2nd owner,4.59L,"M3M Urbana, Golf Course Ext., Gurugram"
2023 Mahindra BOLERO NEO,24.68k km,Diesel,Manual,1st owner,8.72L,"Parsvnath City Mall, Faridabad"
2020 Tata Tiago XT PETROL,45.57k km,CNG,Manual,1st owner,4.46L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2020 KIA SELTOS GTX PLUS AT 1.5 DIESEL,60.34k km,Diesel,Auto,1st owner,12.10L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2018 Maruti Swift ZXI AMT,64.71k km,Petrol,Auto,2nd owner,4.56 lakh,"Sector-18, Noida"
2020 Mahindra Scorpio S11 2WD,54.35k km,Diesel,Manual,2nd owner,12.14 lakh,"M3M Urbana, Golf Course Ext., Gurugram"
2021 Volkswagen Polo,28.53k km,Petrol,Auto,1st owner,8.43L,"Vaishali, Ghaziabad"
2020 Honda Amaze 1.2L I-VTEC V,49.46k km,Petrol,Manual,1st owner,5.83L,"Metro Walk, Rohini, New Delhi"
2021 KIA SONET HTX 1.5,66.39k km,Diesel,Manual,1st owner,9.11L,"M3M Urbana, Golf Course Ext., Gurugram"
2020 Hyundai Creta SX (O) IVT 1.5 PETROL,82.65k km,Petrol,Auto,1st owner,11.50L,"CARS24 Network, Sec-11 Faridabad"
2019 Mahindra XUV500 W5,46.67k km,Diesel,Manual,1st owner,10.85L,"Gaur City mall, Multilevel parking, Greater Noida"
2020 Hyundai NEW SANTRO,51.47k km,Petrol,Manual,1st owner,3.62L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2021 Honda Amaze 1.2L I-VTEC S CVT,50.22k km,Petrol,Auto,2nd owner,5.74 lakh,"Metro Walk, Rohini, New Delhi"
2020 Maruti New Wagon-R,32.83k km,CNG,Manual,1st owner,4.54 lakh,"M3M Urbana, Golf Course Ext., Gurugram"
2023 Hyundai VENUE S 1.2,24.43k km,Petrol,Manual,1st owner,8.00 lakh,"CARS24 Network, Sector 7, Faridabad"
2024 KIA SONET HTK (O) 1.2 Petrol MT,8.26k km,Petrol,Manual,1st owner,9.17L,"Sector-18, Noida"
2021 MG HECTOR SHARP 2.0 DIESEL,72.81k km,Diesel,Manual,2nd owner,10.70 lakh,"Parsvnath City Mall, Faridabad"
2017 Maruti Swift VXI,32.67k km,Petrol,Manual,2nd owner,3.96L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2019 Hyundai Elite i20,47.32k km,Petrol,Manual,1st owner,5.84L,"M3M Urbana, Golf Course Ext., Gurugram"
2018 Hyundai Verna 1.6 VTVT SX,96.14k km,Petrol,Manual,1st owner,6.78L,"Metro Walk, Rohini, New Delhi"
2019 MG HECTOR SHARP HYBRID 1.5 PETROL,50.68k km,Petrol,Manual,1st owner,9.93L,"Metro Walk, Rohini, New Delhi"
2019 KIA SELTOS HTX IVT 1.5 PETROL,65.19k km,Petrol,Auto,1st owner,8.80 lakh,"Parsvnath City Mall, Faridabad"
2021 Renault Kiger RXT 1.0 TURBO MT DUAL TONE,43.86k km,Petrol,Manual,1st owner,5.34L,"M3M Urbana, Golf Course Ext., Gurugram"
2021 Maruti New Wagon-R,79.87k km,CNG,Manual,1st owner,4.80L,"Parsvnath City Mall, Faridabad"
2023 Maruti FRONX DELTA PLUS 1.2MT,43.44k km,Petrol,Manual,1st owner,7.51L,"Sector-18, Noida"
2021 MG HECTOR SUPER HYBRID 1.5 PETROL,38.34k km,Petrol,Manual,1st owner,11.14L,"Sector-18, Noida"
2021 Maruti IGNIS SIGMA 1.2,86.65k km,CNG,Manual,1st owner,4.12 lakh,"Parsvnath City Mall, Faridabad"
2016 Hyundai Creta S 1.6 PETROL,65.81k km,Petrol,Manual,1st owner,6.01L,"M3M Urbana, Golf Course Ext., Gurugram"
2015 Hyundai Creta SX PLUS 1.6 PETROL,60.32k km,Petrol,Manual,1st owner,6.10L,"Vaishali, Ghaziabad"
2015 Maruti Wagon R 1.0 VXI,60.47k km,Petrol,Manual,1st owner,2.99L,"M3M Urbana, Golf Course Ext., Gurugram"
2019 Ford Ecosport TITANIUM + 1.5L PETROL,69.77k km,Petrol,Manual,1st owner,6.54 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2019 Ford Ecosport TITANIUM + 1.5L PETROL,70.33k km,Petrol,Manual,1st owner,6.52 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2022 Mahindra Thar LX PETROL HT 4WD AT,16.88k km,Petrol,Auto,1st owner,13.25 lakh,"CARS24 Network, Sec-11 Faridabad"
2023 Renault Kiger RXT MT,9.80k km,Petrol,Manual,1st owner,6.21L,"Parsvnath City Mall, Faridabad"
2019 Honda Civic 1.8L I-VTEC V CVT,77.47k km,Petrol,Auto,1st owner,11.07L,"Vaishali, Ghaziabad"
2019 Ford Ecosport TITANIUM 1.5L DIESEL,39.74k km,Diesel,Manual,1st owner,6.28L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2020 KIA SONET HTK PLUS 1.0 IMT,22.73k km,Petrol,Manual,1st owner,7.53L,"Sector-18, Noida"
2021 Datsun Redi Go T,42.94k km,Petrol,Manual,1st owner,3.84L,"Parsvnath City Mall, Faridabad"
2022 Tata TIGOR XZ PLUS CNG,46.07k km,CNG,Manual,1st owner,6.16 lakh,"Sector-18, Noida"
2019 Honda City 1.5L I-DTEC SV,55.30k km,Diesel,Manual,1st owner,5.70 lakh,Rajouri Garden
2024 Toyota Glanza E,8.20k km,Petrol,Manual,1st owner,6.85L,"CARS24 Network, Sec-11 Faridabad"
2020 Ford Ecosport,97.82k km,Petrol,Manual,1st owner,6.50 lakh,"CARS24 Network, Sec-11 Faridabad"
2016 Renault Kwid RXT 0.8,23.13k km,Petrol,Manual,1st owner,2.11 lakh,"Metro Walk, Rohini, New Delhi"
2018 Maruti Alto K10 VXI,44.48k km,Petrol,Manual,1st owner,3.05L,"Parsvnath City Mall, Faridabad"
2016 Renault Kwid RXT 0.8,61.22k km,Petrol,Manual,1st owner,2.20 lakh,"Parsvnath City Mall, Faridabad"
2023 Skoda SLAVIA,29.08k km,Petrol,Auto,1st owner,11.97 lakh,"Sector-18, Noida"
2021 Ford Ecosport TITANIUM + SE 1.5L DIESEL,39.85k km,Diesel,Manual,1st owner,7.20 lakh,"Vaishali, Ghaziabad"
2021 Hyundai VENUE S 1.2,29.74k km,Petrol,Manual,1st owner,6.94L,"Sector-18, Noida"
2016 Hyundai Creta SX PLUS AT 1.6 PETROL,82.72k km,Petrol,Auto,1st owner,7.00 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2020 Hyundai Creta EX 1.5 PETROL,66.80k km,Petrol,Manual,1st owner,8.95 lakh,"CARS24 Network, Sector 7, Faridabad"
2024 Tata NEXON Pure S 1.2 Revotron 6AMT,5.21k km,Petrol,Auto,1st owner,9.53L,"Sector-18, Noida"
2022 KIA SELTOS HTK PLUS 1.5 DIESEL,30.08k km,Diesel,Manual,1st owner,12.28L,"Parsvnath City Mall, Faridabad"
2016 Hyundai i20 Active 1.2 S,55.77k km,Petrol,Manual,1st owner,4.19L,"Gaur City mall, Multilevel parking, Greater Noida"
2021 Mahindra XUV300 W6 1.2 PETROL AMT,13.53k km,Petrol,Auto,1st owner,7.99 lakh,"Sector-18, Noida"
2019 Hyundai Creta SX (O) 1.6 DIESEL,73.88k km,Diesel,Manual,1st owner,12.39L,"M3M Urbana, Golf Course Ext., Gurugram"
2014 Honda Amaze 1.2L I-VTEC S,64.52k km,Petrol,Manual,1st owner,3.34 lakh,"Sector-18, Noida"
2021 Toyota URBAN CRUISER,91.20k km,Petrol,Manual,1st owner,7.11L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2021 Toyota URBAN CRUISER,38.69k km,Petrol,Manual,1st owner,7.47L,"Vaishali, Ghaziabad"
2021 Maruti New Wagon-R,22.75k km,CNG,Manual,1st owner,4.95L,"Vaishali, Ghaziabad"
2020 Tata NEXON XZ PLUS PETROL,43.81k km,Petrol,Manual,2nd owner,6.41L,"Gaur City mall, Multilevel parking, Greater Noida"
2019 Renault Kwid RXL,63.73k km,Petrol,Manual,2nd owner,2.56L,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2024 Nissan MAGNITE Kuro Edition 1.0 MT,20.43k km,Petrol,Manual,1st owner,8.37L,"M3M Urbana, Golf Course Ext., Gurugram"
2019 Tata Harrier XZ 2.0L,1.1L km,Diesel,Manual,1st owner,8.45 lakh,"CARS24 Network, NIT, Faridabad"
2021 Tata ALTROZ XM PLUS PETROL,39.30k km,Petrol,Manual,1st owner,5.36L,"Parsvnath City Mall, Faridabad"
2017 Hyundai Verna 1.6 VTVT SX,40.07k km,Petrol,Manual,1st owner,6.82L,"Vaishali, Ghaziabad"
2022 Tata NEXON XE PETROL,18.29k km,Petrol,Manual,1st owner,6.09 lakh,"KW Delhi 6, Raj Nagar Extension, Ghaziabad"
2023 KIA SONET HTK PLUS 1.2 PETROL MT,17.05k km,Petrol,Manual,1st owner,8.25 lakh,"Vaishali, Ghaziabad"
2022 Toyota Innova Crysta,38.44k km,Petrol,Manual,1st owner,15.98 lakh,"Sector-18, Noida"
2023 Tata Tiago XT PETROL,55.24k km,Petrol,Manual,1st owner,4.90 lakh,"Gaur City mall, Multilevel parking, Greater Noida"
2020 Hyundai VENUE SX PLUS 1.0 TURBO DCT,59.42k km,Petrol,Auto,1st owner,7.95 lakh,"Metro Walk, Rohini, New Delhi"
